title,console,console_fabricator,genre,publisher,developer,release_date,ano,total_sales,na_sales,jp_sales,pal_sales,other_sales
Ore wa Shoujo Mangaka,PSP,Sony,Visual Novel,Giza10,Giza10,2012-02-23,2012,0.02,0.0,0.02,0.0,0.0
Hyakka Yakou,PSV,Sony,Visual Novel,Idea Factory,Otomate,2015-02-12,2015,0.02,0.0,0.02,0.0,0.0
Robotics;Notes,PSV,Sony,Visual Novel,5pb,5pb. Games,2014-06-26,2014,0.02,0.0,0.02,0.0,0.0
Fuuraiki 3,PSV,Sony,Visual Novel,Nippon Ichi Software,Nippon Ichi Software,2015-02-19,2015,0.02,0.0,0.02,0.0,0.0
Starry * Sky: After Summer Portable,PSP,Sony,Visual Novel,Asgard,honeybee,2013-03-28,2013,0.02,0.0,0.02,0.0,0.0
Uchuu Keiji Tamashii: The Space Sheriff Spirits,PS2,Sony,Action,Namco Bandai,Digifloyd,2006-05-25,2006,0.02,0.0,0.02,0.0,0.0
Troll and I,XOne,Microsoft,Action,Maximum Games,Spiral House,2017-03-21,2017,0.02,0.02,0.0,0.0,0.0
Red Dead Redemption: Game of the Year Edition,PS3,Sony,Action,Rockstar Games,Rockstar San Diego,2011-10-11,2011,0.01,0.0,0.0,0.01,0.0
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.5,PS3,Sony,Action,Namco Bandai Games,Unknown,2015-09-25,2015,0.02,0.0,0.02,0.0,0.0
Date-A-Live Twin Edition: Rio Reincarnation,PSV,Sony,Action,Compile Heart,Unknown,2015-07-30,2015,0.02,0.0,0.02,0.0,0.0
Natsuiro High School: Seishun Hakusho,PS4,Sony,Action,D3Publisher,Unknown,2015-06-04,2015,0.02,0.0,0.02,0.0,0.0
Past Cure,XOne,Microsoft,Action,Phantom 8 Studio,Phantom 8 Studio,2018-02-23,2018,0.02,0.02,0.0,0.0,0.0
Digimon Universe: Appli Monsters,3DS,Nintendo,Action,Namco Bandai Games,Bandai Namco Games,2016-12-01,2016,0.02,0.0,0.02,0.0,0.0
Charlie's Angels,GC,Nintendo,Action,Ubisoft,Neko Entertainment,2003-07-09,2003,0.01,0.01,0.0,0.0,0.0
Shaq-Fu: A Legend Reborn,XOne,Microsoft,Action,Wired Productions,Big Deez Productions,2018-06-05,2018,0.02,0.02,0.0,0.0,0.0
Teenage Mutant Ninja Turtles Double Pack,GBA,Nintendo,Action,Konami,Konami,2006-06-06,2006,0.01,0.01,0.0,0.0,0.0
Natsuiro High School: Seishun Hakusho,PS3,Sony,Action,D3Publisher,Unknown,2015-06-04,2015,0.02,0.0,0.02,0.0,0.0
Katekyoo Hitman Reborn!! Let's Ansatsu!? Nerawareta 10 Daime!,PS2,Sony,Action,Marvelous Interactive,Marvelous Interactive,2007-10-25,2007,0.02,0.0,0.02,0.0,0.0
The Mummy,GBA,Nintendo,Action,Ubisoft,Ubisoft,2002-11-20,2002,0.01,0.01,0.0,0.0,0.0
The Crow: City of Angels,PS,Sony,Action,Acclaim Entertainment,Gray Matter,1997-02-28,1997,0.02,0.01,0.0,0.01,0.0
Mini Ninjas,PC,Outros,Action,Eidos Interactive,IO Interactive,2009-09-08,2009,0.02,0.0,0.0,0.02,0.0
Paranormal Pursuit: The Gifted One,PC,Outros,Action,Alawar Entertainment,Big Fish Games,2015-08-07,2015,0.02,0.0,0.0,0.02,0.0
Eve: Burst Error R,PSV,Sony,Action,Red Flagship,Unknown,2016-04-28,2016,0.02,0.0,0.02,0.0,0.0
My Hero: Doctor,DS,Nintendo,Action,Majesco,Game Life / Dream On Studio,2009-11-17,2009,0.02,0.02,0.0,0.0,0.0
Metal Fight Beyblade Portable: Chouzetsu Tensei Vulcan Horses,PSP,Sony,Action,Takara Tomy,Takara Tomy,2010-10-21,2010,0.02,0.0,0.02,0.0,0.0
SD Gundam Sangokuden Brave Battle Warriors: Shin Mirisha Taisen,DS,Nintendo,Action,Namco Bandai,Bandai Namco Games,2010-12-02,2010,0.02,0.0,0.02,0.0,0.0
Red Ninja: End of Honor,XB,Microsoft,Action,VU Games,Tranji,2005-03-29,2005,0.01,0.01,0.0,0.0,0.0
Sega Ages 2500 Series Vol. 26: Dynamite Deka,PS2,Sony,Action,Sega,Sega,2006-04-27,2006,0.02,0.0,0.02,0.0,0.0
Kong: The Animated Series,GBA,Nintendo,Action,BAM! Entertainment,Planet Interactive,2002-08-20,2002,0.01,0.01,0.0,0.0,0.0
Saints Row: Gat out of Hell,XOne,Microsoft,Action,Deep Silver,Volition Inc.,2015-01-20,2015,0.02,0.0,0.0,0.02,0.0
Higurashi no Naku Koro ni Iki,PS3,Sony,Action,Kaga Create,Unknown,2015-03-12,2015,0.02,0.0,0.02,0.0,0.0
Mega Man Legacy Collection 2,XOne,Microsoft,Action,Capcom,Capcom,2017-08-08,2017,0.02,0.02,0.0,0.0,0.0
Brothers Conflict: Precious Baby,PSV,Sony,Action,Idea Factory,Unknown,2017-04-07,2017,0.02,0.0,0.02,0.0,0.0
Disney's Meet the Robinsons,DS,Nintendo,Action,Disney Interactive Studios,Altron,2007-03-27,2007,0.02,0.02,0.0,0.0,0.0
Tengen Toppa Gurren-Lagann,DS,Nintendo,Action,Konami,Konami,2007-10-25,2007,0.02,0.0,0.02,0.0,0.0
Spider-Man: Web of Shadows,PC,Outros,Action,Activision,Shaba Games / Treyarch,2008-10-28,2008,0.02,0.0,0.0,0.02,0.0
Meiji Toukyou Renka: Full Moon,PSV,Sony,Action,5pb,Unknown,2016-08-25,2016,0.02,0.0,0.02,0.0,0.0
PDC World Championship Darts: Pro Tour,X360,Microsoft,Sports,O-Games,O-Games,2010-11-26,2010,0.02,0.0,0.0,0.02,0.0
